EMPID,FIRSTNAME,LASTNAME,STARTDATE,EXITDATE,TITLE,SUPERVISOR,ADEMAIL,BUSINESSUNIT,EMPLOYEESTATUS,EMPLOYEETYPE,PAYZONE,EMPLOYEECLASSIFICATIONTYPE,TERMINATIONTYPE,TERMINATIONDESCRIPTION,DEPARTMENTTYPE,DIVISION,DOB,STATE,JOBFUNCTIONDESCRIPTION,GENDERCODE,LOCATIONCODE,RACEDESC,MARITALDESC,PERFORMANCE_SCORE,CURRENT_EMPLOYEE_RATING
1271,Harley,Abbott,0020-04-26,,Production Technician I,Brenda Johnson,harley.abbott@bilearner.com,PYZ,Active,Full-Time,Zone A,Part-Time,Unk,,Production,General - Sga,16-11-1951,MA,Foreman,Female,95232,Asian,Widowed,Fully Meets,3
1716,Tyrell,Fuentes,0020-11-02,0022-06-21,BI Director,Steven Oliver,tyrell.fuentes@bilearner.com,NEL,Active,Contract,Zone C,Part-Time,Involuntary,Can conference couple similar anything.,IT/IS,General - Con,19-03-1961,MA,Flagger,Female,21457,Asian,Widowed,Fully Meets,3
1392,Jeanette,Tippett,0019-06-07,0019-08-15,Production Technician I,David Stephens,jeanette.tippett@bilearner.com,PL,Active,Part-Time,Zone A,Part-Time,Involuntary,Because wind like.,Production,Field Operations,25-02-1955,MA,Operator,Female,2093,Hispanic,Widowed,Exceeds,3
2393,Rhett,Holmes,0018-12-05,0021-09-15,Production Manager,Michael Morse,rhett.holmes@bilearner.com,NEL,Active,Full-Time,Zone C,Part-Time,Involuntary,Line believe write might anything yet.,Production,Engineers,04-09-1993,MA,Engineer,Female,79531,Other,Widowed,Fully Meets,5
3743,Mercedes,Cook,0020-05-30,,Production Technician I,Stephanie Valdez,mercedes.cook@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unk,,Production,General - Con,13-09-1950,MA,Locator,Male,13394,Black,Married,Fully Meets,2
1739,Hang T,Wolk,0019-07-15,0023-05-01,Production Technician II,Michael Farmer,hang t.wolk@bilearner.com,CCDR,Active,Contract,Zone B,Full-Time,Involuntary,Large relate work treatment Mrs.,Production,Aerial,11-01-1982,MA,Laborer,Female,2302,Hispanic,Married,Fully Meets,3
2634,Hezekiah,Mcgee,0023-03-12,,Administrative Assistant,David Clark,hezekiah.mcgee@bilearner.com,PYZ,Active,Part-Time,Zone B,Temporary,Unk,,Sales,Field Operations,16-02-1943,WA,Technician,Female,12008,Asian,Single,Fully Meets,4
1468,Coleman,Bridges,0018-12-27,,Production Technician I,Michael Flowers,coleman.bridges@bilearner.com,TNS,Active,Contract,Zone A,Part-Time,Unk,,Production,Field Operations,30-08-1965,MA,Laborer,Female,24605,Hispanic,Divorced,Exceeds,3
2530,Hana,Lucero,0022-10-20,0023-07-07,Software Engineer,Mr. John Long,hana.lucero@bilearner.com,PL,Active,Part-Time,Zone C,Temporary,Retirement,Scientist strong team civil quality.,Software Engineering,Yard (Material Handling),11-04-1980,MA,Attendant,Male,75065,White,Divorced,Fully Meets,2
1813,Valentin,Lam,0020-08-04,,Production Technician I,James Meyer,valentin.lam@bilearner.com,NEL,Active,Contract,Zone C,Temporary,Unk,,Production,Aerial,12-01-1980,MA,Lineman,Female,61521,Other,Divorced,Fully Meets,3
2666,Kaylyn,Frye,0018-11-07,0022-01-08,Area Sales Manager,Taylor Lopez,kaylyn.frye@bilearner.com,PL,Active,Part-Time,Zone C,Full-Time,Retirement,Audience run degree that your beyond cell.,Sales,Yard (Material Handling),19-01-1946,WA,Runner,Female,91544,Other,Single,Fully Meets,4
3972,Eleanor,Patton,0022-07-26,,Database Administrator,Raymond Wilson,eleanor.patton@bilearner.com,TNS,Active,Part-Time,Zone B,Part-Time,Unk,,IT/IS,General - Con,07-06-1955,TX,Foreman,Female,21727,Black,Divorced,Fully Meets,3
1989,Alec,Stephens,0020-02-25,,Production Technician II,Jessica Garcia,alec.stephens@bilearner.com,PL,Active,Full-Time,Zone A,Temporary,Unk,,Production,Field Operations,14-06-2000,MA,Groundman,Female,51952,Other,Married,Fully Meets,3
3795,Kaitlynn,Serrano,0022-07-14,,Production Technician I,Brandi Howell,kaitlynn.serrano@bilearner.com,CCDR,Active,Part-Time,Zone A,Part-Time,Unk,,Production,General - Sga,01-08-1989,MA,Manager,Male,59081,White,Divorced,Exceeds,3
1784,Trystan,Ramos,0023-08-02,0023-08-02,Production Technician I,Mr. John Thomas,trystan.ramos@bilearner.com,WBL,Active,Part-Time,Zone A,Temporary,Retirement,Need challenge education bank upon reach fall.,Production,General - Con,30-03-1971,MA,Technician,Female,14325,Other,Divorced,Fully Meets,3
2610,Ronald,Marquez,0022-09-23,0023-01-25,Area Sales Manager,Kelly James,ronald.marquez@bilearner.com,TNS,Active,Full-Time,Zone B,Full-Time,Retirement,Join difference order size occur entire sell.,Sales,General - Con,30-12-1947,TN,Foreman,Male,90224,White,Widowed,Fully Meets,2
2397,Marcos,Sloan,0018-09-19,0019-04-29,Production Manager,Barry Powell,marcos.sloan@bilearner.com,TNS,Active,Part-Time,Zone B,Full-Time,Retirement,Husband should TV sport message friend history.,Production,Field Operations,22-08-1990,MA,Laborer,Female,90692,Other,Widowed,Fully Meets,2
1780,Colton,Booker,0022-12-10,0023-02-11,Production Technician I,Jason Taylor,colton.booker@bilearner.com,BPC,Active,Contract,Zone C,Temporary,Retirement,Half nice continue serious move lay itself.,Production,Field Operations,11-07-1993,MA,Engineer,Female,17208,Hispanic,Widowed,Fully Meets,3
3376,Maren,Anderson,0023-07-06,,Production Technician I,Christopher Sexton,maren.anderson@bilearner.com,PL,Active,Part-Time,Zone B,Temporary,Unk,,Production,Field Operations,11-11-1986,MA,Technician,Female,7445,Asian,Single,Exceeds,5
3040,Areli,Torres,0020-12-14,,Production Technician I,Caleb Floyd Jr.,areli.torres@bilearner.com,CCDR,Active,Full-Time,Zone A,Full-Time,Unk,,Production,Field Operations,01-02-1984,MA,Groundman,Female,31946,White,Divorced,Fully Meets,5
3299,Devyn,Pace,0022-11-10,,Production Technician II,Tabitha Cunningham,devyn.pace@bilearner.com,MSC,Active,Part-Time,Zone A,Full-Time,Unk,,Production,Wireline Construction,10-06-1975,MA,Supervisor,Male,51576,White,Widowed,Fully Meets,4
3588,Selena,Greer,0019-06-25,0019-08-15,Production Technician I,Paul Lopez,selena.greer@bilearner.com,NEL,Active,Full-Time,Zone C,Full-Time,Retirement,Everybody no four arrive major ten culture.,Production,Shop (Fleet),08-03-1972,MA,Mechanic,Male,14504,Black,Widowed,Fully Meets,2
1099,Seffi,Shields,0022-03-25,0022-04-22,Production Technician I,Robert Sullivan,seffi.shields@bilearner.com,SVG,Active,Part-Time,Zone A,Part-Time,Retirement,Person say might throw war scientist.,Production,Field Operations,24-12-1971,MA,Laborer,Female,2149,Other,Single,Fully Meets,3
1022,Frederick,Howe,0022-09-19,,Software Engineer,Nicole Haynes,frederick.howe@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,Unk,,Software Engineering,Field Operations,11-06-1962,MA,Engineer,Male,12765,Black,Divorced,Fully Meets,3
3648,Keyon,Hensley,0022-02-23,,Production Technician II,Peter Smith,keyon.hensley@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,Unk,,Production,Aerial,27-06-1948,MA,Lineman,Female,76615,Other,Divorced,Exceeds,4
1091,Carl,Desimone,0018-11-16,0021-04-03,Production Technician I,Daniel Booth,carl.desimone@bilearner.com,PYZ,Active,Contract,Zone B,Temporary,Involuntary,Fine use card current agent.,Production,General - Sga,26-08-1986,MA,Supervisor,Male,2061,Asian,Single,Fully Meets,3
2019,Emery,Peck,0022-03-26,,Production Technician II,Danielle Little,emery.peck@bilearner.com,SVG,Active,Full-Time,Zone C,Temporary,Unk,,Production,Field Operations,08-01-1977,MA,Laborer,Female,65810,White,Widowed,Fully Meets,3
2053,Kolten,Kim,0021-09-27,,Production Technician I,Curtis Gonzales,kolten.kim@bilearner.com,EW,Active,Part-Time,Zone B,Temporary,Unk,,Production,Engineers,09-02-1989,MA,Engineer,Female,34501,White,Divorced,Fully Meets,3
3812,Sarah,Warfield,0019-02-13,0020-08-06,Sr. Network Engineer,Julie Lewis,sarah.warfield@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Resignation,Center west table security.,IT/IS,General - Eng,24-05-1985,MA,Administrative,Female,2453,Hispanic,Single,Fully Meets,3
1745,Lindsey,Langford,0022-02-05,,Production Technician II,Erin Castro,lindsey.langford@bilearner.com,EW,Active,Contract,Zone C,Part-Time,Unk,,Production,Aerial,26-09-1989,MA,Foreman,Female,2090,Other,Widowed,Fully Meets,3
3703,Addisyn,Guerrero,0020-08-31,0022-06-26,Production Technician I,Cory Lee,addisyn.guerrero@bilearner.com,EW,Active,Part-Time,Zone A,Part-Time,Resignation,Tax herself interview maybe control.,Production,Engineers,15-02-1951,MA,Engineer,Female,87563,White,Widowed,Exceeds,4
2387,Gretchen,Richards,0022-06-27,0023-01-05,President & CEO,Brandi Lambert,gretchen.richards@bilearner.com,SVG,Active,Contract,Zone C,Temporary,Resignation,Somebody air turn. Dark civil any serious.,Production,Safety,28-05-1994,MA,Safety,Male,40201,Hispanic,Widowed,Fully Meets,1
1897,Danna,Rollins,0021-11-14,,Production Technician II,Lauren Wilson,danna.rollins@bilearner.com,NEL,Active,Full-Time,Zone C,Temporary,Unk,,Production,Field Operations,20-07-1948,MA,Laborer,Male,38371,Asian,Divorced,Fully Meets,3
2815,Luke,Burke,0023-07-23,,Production Technician I,David Smith,luke.burke@bilearner.com,EW,Active,Contract,Zone C,Part-Time,Unk,,Production,Project Management - Con,29-07-1978,MA,Manager,Female,62651,Asian,Single,Fully Meets,4
2052,Blaine,Contreras,0020-06-10,0022-11-13,Production Technician I,Dr. Donald Henry,blaine.contreras@bilearner.com,SVG,Active,Part-Time,Zone B,Part-Time,Involuntary,Mean car law read friend growth.,Production,Field Operations,12-05-1956,MA,Laborer,Female,61020,Hispanic,Married,Fully Meets,3
2035,Raymond,Gillespie,0020-06-06,0021-11-23,Production Technician I,Alicia Horton,raymond.gillespie@bilearner.com,CCDR,Active,Full-Time,Zone C,Full-Time,Retirement,Race a way theory analysis.,Production,Aerial,14-03-2001,MA,Lineman,Female,44292,Asian,Married,Fully Meets,3
1449,Tara,Alvarado,0022-11-15,,Production Technician II,Ashley Gamble,tara.alvarado@bilearner.com,PL,Active,Part-Time,Zone B,Temporary,Unk,,Production,General - Sga,14-09-1965,MA,Administrator,Male,82061,Other,Divorced,Needs Improvement,3
2817,Camila,Hodges,0023-01-11,,Production Technician I,Theresa Davis,camila.hodges@bilearner.com,TNS,Active,Contract,Zone A,Part-Time,Unk,,Production,Field Operations,12-09-1998,MA,Laborer,Male,79678,White,Widowed,Fully Meets,4
1555,Hazel,Ponce,0019-03-27,,Production Technician II,Kenneth Reeves,hazel.ponce@bilearner.com,PL,Active,Part-Time,Zone A,Part-Time,Unk,,Production,Field Operations,26-04-1966,MA,Technician,Female,86977,Hispanic,Divorced,Fully Meets,3
2755,Michael,Carey,0022-05-26,,Production Technician I,Connor Macdonald,michael.carey@bilearner.com,EW,Active,Contract,Zone B,Temporary,Unk,,Production,General - Con,20-11-1955,MA,Technician,Male,1701,Other,Single,Fully Meets,2
2551,Coby,Giles,0023-05-04,0023-07-02,Software Engineer,Edwin Chen,coby.giles@bilearner.com,NEL,Active,Full-Time,Zone B,Temporary,Voluntary,Will low work decade site.,Software Engineering,General - Con,12-05-1988,MA,Manager,Female,49964,Other,Widowed,Fully Meets,1
3014,Amelia,Gamble,0022-11-23,0022-12-09,Production Technician I,Danielle Long,amelia.gamble@bilearner.com,EW,Active,Contract,Zone B,Temporary,Resignation,Bring guy religious week second technology.,Production,Field Operations,17-07-1967,MA,Flagger,Male,81914,Hispanic,Single,PIP,2
1016,Jayda,Reese,0020-02-21,0021-05-29,Senior BI Developer,Tyler Davis,jayda.reese@bilearner.com,PL,Active,Part-Time,Zone B,Part-Time,Involuntary,Friend agree stock teach price fish.,Admin Offices,Shop (Fleet),08-03-1956,MA,Mechanic,Female,64065,White,Single,Fully Meets,3
1778,Cannon,Lee,0019-04-25,,Production Technician I,Brandon Mcdonald,cannon.lee@bilearner.com,NEL,Active,Full-Time,Zone B,Full-Time,Unk,,Production,General - Con,18-05-1949,MA,Foreman,Female,91836,Other,Widowed,Fully Meets,3
1405,Shana,Petingill,0018-12-08,0022-06-11,Production Technician II,Lisa Peters,shana.petingill@bilearner.com,PL,Active,Part-Time,Zone A,Temporary,Involuntary,President TV note reach bad.,Production,Field Operations,30-03-1977,MA,Construction Manager,Female,2050,Other,Single,Exceeds,3
2086,Eliza,Munoz,0021-05-31,0021-11-12,Production Technician I,Steven Short,eliza.munoz@bilearner.com,PL,Active,Contract,Zone A,Part-Time,Retirement,Capital course trade.,Production,General - Con,14-11-1978,MA,Laborer,Female,26272,Asian,Divorced,Fully Meets,3
2742,Samir,Gray,0022-04-23,0022-12-16,Area Sales Manager,Chad Boone,samir.gray@bilearner.com,PYZ,Active,Full-Time,Zone B,Full-Time,Retirement,Thing stock near question mouth.,Sales,Field Operations,09-10-1991,NH,Foreman,Male,47497,Asian,Married,Fully Meets,2
2205,Gia,Franco,0022-04-13,0023-07-30,Production Technician I,Jason Boyd,gia.franco@bilearner.com,BPC,Active,Full-Time,Zone B,Full-Time,Involuntary,Article machine reflect land lose simply medical.,Production,General - Sga,13-01-1944,MA,Administrator,Female,32235,Black,Divorced,Needs Improvement,4
3691,Chace,Church,0020-11-23,,Production Technician I,David Valenzuela,chace.church@bilearner.com,TNS,Active,Part-Time,Zone C,Full-Time,Unk,,Production,Finance & Accounting,03-01-1993,MA,Manager,Male,34316,Asian,Single,Needs Improvement,1
3087,Corinne,Campos,0023-07-03,,Production Technician I,Duane Kelly,corinne.campos@bilearner.com,CCDR,Active,Contract,Zone B,Part-Time,Unk,,Production,Project Management - Con,08-02-1948,MA,Coordinator,Female,51274,Black,Married,Fully Meets,4
2139,Kaleb,Elliott,0020-05-05,,Production Technician II,Laura Fernandez,kaleb.elliott@bilearner.com,MSC,Active,Part-Time,Zone B,Full-Time,Unk,,Production,Aerial,30-03-1968,MA,Laborer,Female,3763,White,Widowed,Exceeds,2
2937,Kianna,Wilkerson,0020-08-01,,Production Technician I,Amy Dominguez,kianna.wilkerson@bilearner.com,BPC,Active,Contract,Zone A,Temporary,Unk,,Production,Yard (Material Handling),23-07-1952,MA,Supervisor,Male,53421,Black,Married,Needs Improvement,2
2714,Julie,Lloyd,0023-02-23,0023-04-20,Area Sales Manager,Keith Martinez,julie.lloyd@bilearner.com,NEL,Active,Part-Time,Zone C,Temporary,Resignation,Break price parent seat natural whatever.,Sales,Field Operations,11-07-1972,WA,Tower Hand,Male,3780,Asian,Widowed,Fully Meets,1
2694,Adam,Beltran,0023-05-26,0023-07-14,Area Sales Manager,Mackenzie Cole,adam.beltran@bilearner.com,MSC,Active,Full-Time,Zone C,Full-Time,Involuntary,Movie before ability. Seem watch deal center.,Sales,Engineers,15-12-1980,ID,Director,Male,16500,Black,Widowed,Fully Meets,4
1832,April,Bentley,0019-11-03,,Production Technician I,Bradley Randall,april.bentley@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Unk,,Production,Engineers,01-06-1956,MA,Engineer,Female,70743,White,Married,Needs Improvement,3
1378,Konnor,Rivas,0022-06-13,,Accountant I,Michael Mathis,konnor.rivas@bilearner.com,EW,Active,Full-Time,Zone C,Part-Time,Unk,,Admin Offices,Fielders,06-03-1975,MA,Engineer,Female,12640,White,Married,PIP,3
3291,Shamar,Serrano,0023-08-01,,Production Technician I,Dustin Hoffman,shamar.serrano@bilearner.com,WBL,Active,Contract,Zone C,Full-Time,Unk,,Production,General - Con,09-08-1957,MA,Flagger,Male,50905,Hispanic,Married,Fully Meets,2
2978,Sam,Athwal,0022-08-16,,Production Technician I,Jeremy Taylor,sam.athwal@bilearner.com,CCDR,Active,Full-Time,Zone C,Part-Time,Unk,,Production,Yard (Material Handling),11-09-1981,MA,Supervisor,Male,2199,Hispanic,Divorced,Fully Meets,4
2706,Yadiel,Riggs,0018-12-13,0019-01-13,Area Sales Manager,Eric Byrd,yadiel.riggs@bilearner.com,NEL,Active,Part-Time,Zone A,Part-Time,Involuntary,Can last meet shake imagine he.,Sales,Field Operations,24-09-1975,NC,Electrician,Male,39922,Asian,Widowed,Fully Meets,2
1624,Charlie,Wang,0023-05-12,0023-05-16,Senior BI Developer,Maria Rivera,charlie.wang@bilearner.com,WBL,Active,Full-Time,Zone A,Temporary,Resignation,Call certain industry out believe show.,IT/IS,Field Operations,22-10-1996,MA,Top Hand,Male,1887,White,Widowed,Needs Improvement,3
1970,Trina,Alagbe,0022-04-21,0022-04-21,Production Technician I,Mark Bradley,trina.alagbe@bilearner.com,PYZ,Active,Part-Time,Zone C,Temporary,Retirement,Push must right.,Production,Field Operations,17-04-1952,MA,Foreman,Female,1886,Other,Single,Fully Meets,3
3036,Reece,Potts,0020-07-05,,Production Technician I,Barbara Perkins,reece.potts@bilearner.com,WBL,Active,Full-Time,Zone B,Temporary,Unk,,Production,Technology / It,28-06-1957,MA,Administrator,Female,94333,White,Widowed,Fully Meets,2
2027,Liam,Figueroa,0019-05-22,,Production Technician I,Michael Ortiz,liam.figueroa@bilearner.com,EW,Active,Part-Time,Zone A,Full-Time,Unk,,Production,Fielders,04-08-1974,MA,Engineer,Female,42458,Black,Single,Fully Meets,3
3101,Bethany,Mckay,0023-01-23,,Production Technician I,Erica Harper,bethany.mckay@bilearner.com,EW,Active,Full-Time,Zone B,Full-Time,Unk,,Production,General - Con,09-03-1961,MA,Technician,Female,79029,Asian,Single,Fully Meets,2
2048,Khalil,Lee,0022-02-07,,Production Technician II,Adam Bates,khalil.lee@bilearner.com,PYZ,Active,Contract,Zone B,Part-Time,Unk,,Production,Aerial,06-04-1995,MA,Laborer,Female,4321,Asian,Married,Fully Meets,3
2665,Abdiel,Good,0020-03-15,,Area Sales Manager,Jessica Harrison,abdiel.good@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Unk,,Sales,Splicing,14-07-1991,NY,Splicer,Male,33859,Hispanic,Married,Fully Meets,4
3721,Johnny,Goodman,0020-02-12,0020-04-07,Production Technician I,Loretta Gonzalez,johnny.goodman@bilearner.com,NEL,Active,Full-Time,Zone B,Full-Time,Resignation,Recent agent choose dark hard eye.,Production,Fielders,24-03-1960,MA,Engineer,Male,24794,Black,Widowed,Fully Meets,2
2674,Clay,Compton,0022-07-15,,Area Sales Manager,Kevin Parrish,clay.compton@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Fielders,16-12-1968,AZ,Engineer,Male,31528,White,Widowed,Fully Meets,1
1974,Jene'ya,Darson,0021-04-14,,Production Technician I,Robert Joseph,jene'ya.darson@bilearner.com,NEL,Active,Part-Time,Zone A,Temporary,Unk,,Production,Aerial,29-12-1968,MA,Supervisor,Female,2110,White,Widowed,Fully Meets,3
1493,Bradley,Barnes,0022-08-03,,Production Technician II,Kimberly Rivera,bradley.barnes@bilearner.com,SVG,Active,Full-Time,Zone B,Temporary,Unk,,Production,Field Operations,19-07-1980,MA,Laborer,Male,57107,Black,Married,Fully Meets,3
3749,Kayden,Soto,0021-02-16,,Production Technician I,Samantha Pugh,kayden.soto@bilearner.com,EW,Active,Full-Time,Zone A,Full-Time,Unk,,Production,Project Management - Eng,02-05-1985,MA,Planner,Female,27488,Other,Married,Fully Meets,4
2496,Selina,Mullins,0020-09-28,0023-03-27,Director of Sales,Brian Thompson,selina.mullins@bilearner.com,PL,Active,Part-Time,Zone B,Temporary,Retirement,Reduce evidence policy clear nothing at.,IT/IS,Underground,18-03-1961,MA,Operator,Male,55912,Other,Single,Fully Meets,2
2545,Odin,Key,0018-12-22,,IT Manager - DB,Michael Whitehead,odin.key@bilearner.com,PYZ,Active,Contract,Zone B,Full-Time,Unk,,IT/IS,Project Management - Con,08-10-1951,MA,Coordinator,Male,57785,Hispanic,Widowed,Fully Meets,4
3916,Jonas,Rowland,0022-06-27,,Network Engineer,Stephanie Harris,jonas.rowland@bilearner.com,WBL,Active,Part-Time,Zone C,Temporary,Unk,,IT/IS,Project Management - Con,25-05-1964,MA,Coordinator,Male,14939,Other,Widowed,Fully Meets,3
2748,Melinda,Saar-Beckles,0022-07-11,,Production Technician I,Deanna Kerr,melinda.saar-beckles@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,Production,General - Sga,15-06-1964,MA,Laborer,Female,1801,Hispanic,Widowed,Fully Meets,1
2770,Neveah,Bird,0021-07-05,,Production Technician I,Richard Davis,neveah.bird@bilearner.com,PL,Active,Part-Time,Zone A,Part-Time,Unk,,Production,Field Operations,19-11-1945,MA,Laborer,Male,65497,Black,Divorced,Fully Meets,5
3546,Paris,Carr,0021-07-31,0023-01-27,Area Sales Manager,Jeffrey Huffman,paris.carr@bilearner.com,CCDR,Active,Full-Time,Zone B,Part-Time,Voluntary,Baby million million soldier.,Sales,General - Con,14-07-1980,ND,Foreman,Male,35786,Hispanic,Widowed,Exceeds,1
1712,Quintin,Hicks,0018-12-12,,Senior BI Developer,Joanna Lewis,quintin.hicks@bilearner.com,CCDR,Active,Full-Time,Zone A,Temporary,Unk,,IT/IS,Engineers,29-02-1972,MA,Engineer,Female,72035,Black,Single,Fully Meets,3
2683,Charlize,Ballard,0021-12-31,,Area Sales Manager,Kimberly Soto,charlize.ballard@bilearner.com,PL,Active,Contract,Zone A,Temporary,Unk,,Sales,General - Con,14-10-1952,WA,Laborer,Female,86439,Other,Divorced,Fully Meets,4
1800,Kyan,Morrison,0019-10-18,0021-04-19,Production Technician I,Bethany Wilkerson,kyan.morrison@bilearner.com,TNS,Active,Part-Time,Zone C,Full-Time,Resignation,Own while top huge.,Production,Wireline Construction,05-04-1976,MA,Lineman,Female,57065,Black,Divorced,Fully Meets,3
3636,Marc,Chandler,0020-01-29,,Production Technician I,Jennifer Soto,marc.chandler@bilearner.com,NEL,Active,Contract,Zone B,Temporary,Unk,,Production,Catv,13-03-1982,MA,Supervisor,Male,10775,Asian,Divorced,Fully Meets,3
2468,Kailyn,Torres,0019-05-06,,Production Manager,Justin Cook,kailyn.torres@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Unk,,Production,General - Con,15-11-1957,MA,Laborer,Male,53359,Hispanic,Married,Fully Meets,5
1987,Chase,Horn,0018-11-09,,Production Technician I,Richard Davis II,chase.horn@bilearner.com,MSC,Active,Full-Time,Zone C,Part-Time,Unk,,Production,General - Sga,27-05-1967,MA,Administrator,Female,75570,White,Single,Fully Meets,3
2726,Martin,Herrera,0021-05-12,0021-11-07,Area Sales Manager,Rachel White,martin.herrera@bilearner.com,TNS,Active,Contract,Zone B,Full-Time,Retirement,Vote yard sign address lead knowledge front.,Sales,Wireline Construction,23-02-1971,NY,Groundman,Male,20036,Asian,Single,Fully Meets,2
2441,Camden,Mcclure,0021-07-14,,President & CEO,Barry Mcfarland,camden.mcclure@bilearner.com,SVG,Active,Contract,Zone B,Part-Time,Unk,,Production,General - Sga,19-12-1973,MA,Recruiter,Male,94258,Hispanic,Married,Fully Meets,2
3146,Abril,Joseph,0018-12-16,,Production Technician I,Gregory Hall,abril.joseph@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Unk,,Production,Project Management - Con,18-10-1978,MA,Coordinator,Female,19021,White,Widowed,Fully Meets,4
1391,Taylor,Sparks,0020-04-02,,Production Technician I,Janet Jones,taylor.sparks@bilearner.com,MSC,Active,Contract,Zone A,Temporary,Unk,,Production,Wireless,18-11-1941,MA,Supervisor,Female,2093,Other,Single,Needs Improvement,3
3649,Elisha,Ruiz,0022-08-13,,Production Technician II,Stephen Green,elisha.ruiz@bilearner.com,TNS,Active,Contract,Zone A,Part-Time,Unk,,Production,Field Operations,06-06-1968,MA,Technician,Female,26602,White,Married,Exceeds,4
3760,Ryan,Tate,0021-08-24,,Production Technician I,Sherry Morris,ryan.tate@bilearner.com,MSC,Active,Full-Time,Zone A,Part-Time,Unk,,Production,General - Con,12-02-1960,MA,Technician,Male,20814,Other,Widowed,Fully Meets,3
1431,Kaley,Ali,0019-03-15,,Production Technician II,Samantha Ross,kaley.ali@bilearner.com,TNS,Active,Full-Time,Zone B,Full-Time,Unk,,Production,Field Operations,31-10-1951,MA,Laborer,Female,16451,Black,Widowed,Exceeds,3
3752,Deven,Morse,0022-07-06,,Production Technician I,Morgan Ross,deven.morse@bilearner.com,PYZ,Active,Full-Time,Zone A,Temporary,Unk,,Production,Engineers,12-10-1954,MA,Engineer,Male,11664,White,Divorced,Fully Meets,2
3970,Macy,Webster,0020-10-04,0023-04-27,Database Administrator,Cynthia Gardner,macy.webster@bilearner.com,PYZ,Active,Part-Time,Zone B,Full-Time,Voluntary,Push reflect pay similar movement others morning.,IT/IS,Field Operations,08-11-1950,MA,Foreman,Female,44077,Other,Married,Exceeds,3
2570,Ayden,Wu,0019-06-16,0023-05-21,IT Director,Tamara Adkins,ayden.wu@bilearner.com,NEL,Active,Contract,Zone A,Full-Time,Voluntary,War model build important determine.,IT/IS,Field Operations,18-11-1991,MA,Laborer,Male,60717,Black,Single,Fully Meets,4
2178,Francis,Robbins,0022-11-01,,Production Technician I,Amy Hinton,francis.robbins@bilearner.com,WBL,Active,Contract,Zone B,Part-Time,Unk,,Production,Fielders,30-08-1990,MA,Engineer,Female,86281,Hispanic,Married,PIP,4
1679,Sage,Morris,0021-05-16,0022-04-14,Senior BI Developer,Susan Barrett,sage.morris@bilearner.com,BPC,Active,Part-Time,Zone C,Part-Time,Voluntary,Hope notice white husband turn manage.,Admin Offices,Engineers,14-12-1944,MA,Project Manager,Male,42691,Black,Widowed,Fully Meets,3
1198,Audrey,Stevens,0019-01-22,,Production Technician I,Daniel Blackburn,audrey.stevens@bilearner.com,NEL,Active,Contract,Zone B,Part-Time,Unk,,Production,Field Operations,28-09-1952,MA,Laborer,Female,61843,Asian,Married,Fully Meets,3
2404,Alena,Ibarra,0019-06-26,0020-01-27,Production Manager,Brandy Coleman,alena.ibarra@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,Voluntary,Into go between. Before number education fast.,Production,General - Con,19-05-1949,MA,Manager,Female,25247,White,Divorced,Fully Meets,2
2037,Ian,Hester,0021-01-09,0022-05-14,Production Technician I,Keith Morrison,ian.hester@bilearner.com,EW,Active,Contract,Zone C,Full-Time,Involuntary,Present trip year.,Production,General - Con,27-08-1945,MA,Clerk,Female,14973,White,Married,Fully Meets,3
1610,Raegan,Spence,0019-11-09,0019-11-18,Production Technician I,Wendy Williamson,raegan.spence@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Involuntary,Option action around live school rich spend.,Production,General - Con,28-01-1986,MA,Flagger,Female,67750,White,Single,Needs Improvement,3
